Date Time,Open,High,Low,Close,Volume,Adj Close
04/01/2016,22.8,23.43,22.45,23.4,4801,23.4
05/01/2016,23.2,24.3,23.0,24.3,14353,24.3
06/01/2016,24.32,24.8,24.3,24.3,10147,24.3
07/01/2016,24.32,24.8,23.7,23.71,11465,23.71
08/01/2016,23.85,24.1,23.71,23.9,6668,23.9
11/01/2016,23.9,24.1,23.9,24.0,8584,24.0
12/01/2016,24.0,24.72,24.0,24.72,4837,24.72
13/01/2016,24.9,25.01,24.72,24.88,26342,24.88
15/01/2016,25.1,25.4,25.08,25.38,11211,25.38
18/01/2016,25.2,25.29,24.73,24.73,6190,24.73
19/01/2016,24.62,25.0,24.5,24.6,1480,24.6
20/01/2016,24.5,24.8,24.5,24.5,20467,24.5
21/01/2016,24.5,24.79,24.5,24.6,3535,24.6
22/01/2016,24.58,25.0,24.45,24.6,16947,24.6
25/01/2016,24.7,25.2,24.7,25.19,14399,25.19
26/01/2016,25.0,25.44,25.0,25.4,25046,25.4
27/01/2016,25.4,25.8,25.3,25.8,19592,25.8
28/01/2016,25.8,26.5,25.79,26.18,19376,26.18
29/01/2016,26.8,27.2,26.5,27.2,25120,27.2
01/02/2016,27.2,27.2,26.4,27.0,9224,27.0
02/02/2016,27.1,27.1,26.4,26.7,4300,26.7
03/02/2016,26.8,26.8,26.2,26.2,4217,26.2
04/02/2016,26.2,26.3,26.0,26.3,6567,26.3
05/02/2016,25.95,26.4,25.8,26.3,12132,26.3
08/02/2016,26.01,26.4,26.0,26.3,1935,26.3
09/02/2016,26.29,26.29,26.0,26.0,14378,26.0
10/02/2016,25.99,25.99,25.22,25.22,333028,25.22
11/02/2016,25.0,25.01,24.45,24.5,9172,24.5
12/02/2016,24.52,24.52,23.81,23.81,2758581,23.81
15/02/2016,23.85,24.39,23.85,24.38,3136,24.38
16/02/2016,24.41,25.41,24.41,25.4,40463,25.4
17/02/2016,25.5,25.5,24.9,25.3,157574,25.3
18/02/2016,25.3,25.35,25.0,25.3,4417,25.3
19/02/2016,25.3,25.35,24.8,25.0,29807,25.0
22/02/2016,25.0,25.0,24.5,24.8,1710,24.8
23/02/2016,24.9,24.9,24.69,24.7,7081,24.7
24/02/2016,24.7,24.7,24.0,24.0,7304,24.0
