Date Time,Open,High,Low,Close,Volume,Adj Close
04/01/2016,6.4,6.4,6.33,6.33,220,6.33
05/01/2016,6.3,6.32,6.25,6.25,1138,6.25
06/01/2016,6.25,6.31,6.21,6.21,672,6.21
07/01/2016,6.21,6.3,6.21,6.29,3377,6.29
08/01/2016,6.29,6.3,6.29,6.3,11648,6.3
11/01/2016,6.31,6.31,6.3,6.31,8861,6.31
12/01/2016,6.31,6.43,6.31,6.4,14055,6.4
13/01/2016,6.4,6.5,6.39,6.4,6603,6.4
15/01/2016,6.48,6.48,6.4,6.4,1244,6.4
18/01/2016,6.4,6.45,6.4,6.45,8082,6.45
19/01/2016,6.45,6.45,6.41,6.45,1396,6.45
20/01/2016,6.43,6.45,6.4,6.4,13662,6.4
21/01/2016,6.4,6.59,6.4,6.5,15980,6.5
22/01/2016,6.5,6.5,6.5,6.5,5810,6.5
25/01/2016,6.5,6.6,6.5,6.51,7146,6.51
26/01/2016,6.51,6.7,6.51,6.7,8639,6.7
27/01/2016,6.52,6.71,6.52,6.71,3638,6.71
28/01/2016,6.75,7.01,6.75,7.01,8937,7.01
29/01/2016,7.01,7.21,7.01,7.21,13557,7.21
01/02/2016,7.1,7.31,7.1,7.31,9397,7.31
02/02/2016,7.3,7.31,7.11,7.31,32819,7.31
03/02/2016,7.31,7.52,7.31,7.52,21928,7.52
04/02/2016,7.52,7.74,7.51,7.74,9984,7.74
05/02/2016,7.74,7.74,7.51,7.59,7854,7.59
08/02/2016,7.4,7.4,7.4,7.4,3200,7.4
09/02/2016,7.29,7.4,7.29,7.4,23199,7.4
10/02/2016,7.31,7.5,7.3,7.31,24116,7.31
11/02/2016,7.29,7.31,7.29,7.31,26217,7.31
12/02/2016,7.39,7.39,7.35,7.35,5800,7.35
15/02/2016,7.3,7.5,7.3,7.5,3515,7.5
16/02/2016,7.52,7.8,7.52,7.8,35993,7.8
17/02/2016,7.79,7.79,7.67,7.67,576,7.67
18/02/2016,7.67,7.67,7.6,7.6,1630,7.6
19/02/2016,7.55,7.81,7.5,7.8,16272,7.8
22/02/2016,7.8,7.8,7.6,7.6,301,7.6
23/02/2016,7.6,7.6,7.6,7.6,4414,7.6
24/02/2016,7.74,7.74,7.6,7.61,5747,7.61
25/02/2016,7.6,7.6,7.5,7.5,22704,7.5
26/02/2016,7.5,7.5,7.5,7.5,140,7.5
29/02/2016,7.35,7.46,7.35,7.46,2069,7.46
01/03/2016,7.36,7.45,7.35,7.44,6146,7.44
02/03/2016,7.42,7.44,7.42,7.42,7137,7.42
03/03/2016,7.35,7.4,7.35,7.35,5393,7.35
04/03/2016,7.35,7.4,7.35,7.4,2274,7.4
07/03/2016,7.36,7.36,7.3,7.35,22887,7.35
08/03/2016,7.35,7.35,7.35,7.35,9906,7.35
09/03/2016,7.3,7.3,7.3,7.3,2750,7.3
10/03/2016,7.21,7.21,7.2,7.2,790,7.2
11/03/2016,7.02,7.2,7.02,7.2,4846,7.2
14/03/2016,7.19,7.19,7.19,7.19,100,7.19
15/03/2016,7.19,7.2,7.19,7.2,1574,7.2
16/03/2016,7.27,7.27,7.27,7.27,1130,7.27
17/03/2016,7.29,7.3,7.2,7.3,4369,7.3
18/03/2016,7.09,7.3,7.09,7.3,207,7.3
21/03/2016,0.0,0.0,0.0,0.0,0,0.0
22/03/2016,7.3,7.3,7.16,7.3,2064,7.3
23/03/2016,7.2,7.3,7.2,7.3,1358,7.3
24/03/2016,7.2,7.3,7.15,7.18,4991,7.18
25/03/2016,7.17,7.17,7.15,7.15,1639,7.15
28/03/2016,7.01,7.01,7.0,7.0,3277,7.0
29/03/2016,7.0,7.0,6.99,7.0,990,7.0
30/03/2016,7.0,7.0,6.94,7.0,2899,7.0
31/03/2016,7.0,7.0,6.95,7.0,811,7.0
01/04/2016,7.0,7.0,7.0,7.0,229,7.0
04/04/2016,7.0,7.15,7.0,7.15,400,7.15
05/04/2016,7.01,7.53,7.01,7.53,11221,7.53
06/04/2016,7.53,7.6,7.53,7.6,1082,7.6
07/04/2016,7.51,7.7,7.51,7.7,8330,7.7
08/04/2016,7.65,7.69,7.5,7.5,1641,7.5
11/04/2016,7.28,7.5,7.28,7.28,427,7.28
12/04/2016,7.28,7.48,7.28,7.4,4216,7.4
13/04/2016,7.57,7.57,7.5,7.5,905,7.5
14/04/2016,7.49,7.49,7.35,7.35,376,7.35
15/04/2016,7.35,7.4,7.35,7.35,3287,7.35
18/04/2016,7.3,7.35,7.2,7.35,981,7.35
19/04/2016,7.44,7.44,7.22,7.3,3214,7.3
20/04/2016,7.3,7.3,7.15,7.15,1141,7.15
21/04/2016,7.15,7.47,7.15,7.47,11078,7.47
22/04/2016,7.47,7.69,7.47,7.69,5985,7.69
25/04/2016,7.5,7.65,7.5,7.65,2617,7.65
26/04/2016,7.6,7.6,7.6,7.6,1651,7.6
27/04/2016,7.6,7.7,7.59,7.7,4787,7.7
28/04/2016,7.5,7.59,7.5,7.59,1406,7.59
29/04/2016,7.37,7.8,7.37,7.8,6875884,7.8
02/05/2016,8.0,8.25,8.0,8.23,2980,8.23
03/05/2016,8.23,8.23,8.0,8.0,7235,8.0
04/05/2016,8.0,8.28,8.0,8.28,10110,8.28
05/05/2016,8.28,8.35,8.26,8.31,19704,8.31
06/05/2016,8.31,8.5,8.31,8.5,19807,8.5
09/05/2016,8.58,8.58,8.5,8.52,10272,8.52
10/05/2016,8.51,8.58,8.5,8.5,10280,8.5
