Date Time,Open,High,Low,Close,Volume,Adj Close
2016-01-21,6.1,6.1,6.1,6.1,250,6.1
2016-01-22,5.95,6.05,5.93,6.05,2569,6.05
2016-01-25,5.78,5.99,5.78,5.9,9990,5.9
2016-01-26,5.78,5.99,5.73,5.78,12260,5.78
2016-01-27,5.78,5.78,5.74,5.74,1194,5.74
2016-01-28,5.72,5.72,5.67,5.67,300,5.67
2016-01-29,5.66,5.66,5.5,5.5,5946,5.5
2016-02-22,5.54,5.54,5.38,5.38,1558,5.38
2016-02-23,5.53,5.53,5.29,5.3,2588,5.3
2016-02-24,5.39,5.39,5.23,5.23,1992,5.23
2016-02-25,5.3,5.3,5.15,5.15,4602,5.15
2016-02-26,5.15,5.15,5.0,5.15,5284,5.15
2016-02-29,5.2,5.2,5.05,5.14,2530,5.14
2016-03-21,4.9,4.99,4.85,4.97,646,4.97
2016-03-22,4.95,4.95,4.85,4.85,6897,4.85
2016-03-23,4.84,4.85,4.84,4.85,1008,4.85
2016-03-24,4.84,4.99,4.84,4.99,8348,4.99
2016-03-25,4.89,5.11,4.89,5.11,3972,5.11
2016-03-28,5.19,5.26,5.11,5.22,4975,5.22
2016-03-29,5.25,5.35,5.12,5.35,3905,5.35
2016-03-30,5.35,5.36,5.2,5.3,1429,5.3
2016-03-31,5.3,5.62,5.3,5.62,12038,5.62
2016-04-21,7.6,7.82,7.6,7.78,5088,7.78
2016-04-22,7.78,7.78,7.55,7.55,1255,7.55
2016-04-25,7.36,7.77,7.36,7.72,3455,7.72
2016-04-26,7.9,7.9,7.67,7.73,3484,7.73
2016-04-27,7.8,7.85,7.6,7.6,7230,7.6
2016-04-28,7.82,7.82,7.59,7.59,166,7.59
2016-04-29,7.5,7.58,7.37,7.37,1748,7.37
2016-05-23,6.7,6.77,6.59,6.7,2532,6.7
2016-05-24,6.5,6.5,6.32,6.32,3393,6.32
2016-05-25,6.5,6.69,6.32,6.53,3952,6.53
2016-05-26,6.68,6.92,6.53,6.92,4035,6.92
2016-05-27,7.23,7.34,7.22,7.34,9599,7.34
2016-05-30,7.35,7.54,7.35,7.49,7138,7.49
2016-05-31,7.49,7.93,7.49,7.93,11748,7.93
2016-06-21,7.42,7.64,7.42,7.64,680,7.64
2016-06-22,7.64,7.86,7.64,7.86,770,7.86
2016-06-23,0.0,0.0,0.0,0.0,0,0.0
2016-06-24,0.0,0.0,0.0,0.0,0,0.0
2016-06-27,7.6,7.6,7.51,7.51,622,7.51
2016-06-28,7.18,7.6,7.18,7.5,922,7.5
2016-06-29,7.17,7.5,7.17,7.5,471,7.5
2016-06-30,0.0,0.0,0.0,0.0,0,0.0
2016-07-21,0.0,0.0,0.0,0.0,0,0.0
2016-07-22,7.4,7.4,7.4,7.4,1250,7.4
2016-07-26,7.33,7.45,7.18,7.45,1250,7.45
2016-07-27,7.45,7.45,7.01,7.45,460,7.45
2016-07-28,0.0,0.0,0.0,0.0,0,0.0
2016-07-29,7.4,7.4,7.4,7.4,10,7.4
2016-08-22,7.5,7.5,7.35,7.35,815,7.35
2016-08-23,0.0,0.0,0.0,0.0,0,0.0
2016-08-24,7.15,7.16,7.15,7.16,80,7.16
2016-08-25,7.1,7.37,7.1,7.1,338,7.1
2016-08-26,7.31,7.31,7.31,7.31,7,7.31
2016-08-29,7.31,7.31,7.31,7.31,5,7.31
2016-08-30,0.0,0.0,0.0,0.0,0,0.0
2016-08-31,0.0,0.0,0.0,0.0,0,0.0
2016-09-21,7.0,7.28,7.0,7.28,2077,7.28
2016-09-22,7.48,7.48,7.48,7.48,155,7.48
2016-09-23,7.49,7.5,7.48,7.48,1490,7.48
2016-09-26,7.48,7.48,7.48,7.48,530,7.48
2016-09-27,7.48,7.48,7.48,7.48,804,7.48
2016-09-28,7.49,7.49,7.48,7.48,1041,7.48
2016-09-29,7.3,7.39,7.26,7.39,2302,7.39
2016-09-30,7.29,7.39,7.29,7.35,357,7.35
2016-10-21,7.87,7.87,7.64,7.84,1781,7.84
2016-10-24,7.62,7.84,7.62,7.62,263,7.62
2016-10-25,7.62,7.82,7.4,7.62,7043,7.62
2016-10-26,7.8,7.92,7.6,7.89,7375,7.89
2016-10-27,7.98,8.0,7.98,7.98,1977,7.98
2016-10-28,7.99,7.99,7.75,7.9,7357,7.9
2016-10-31,7.67,7.9,7.67,7.9,3478,7.9
2016-11-21,8.92,8.92,8.66,8.7,5877,8.7
2016-11-22,8.71,8.85,8.6,8.82,7655,8.82
2016-11-23,8.73,8.81,8.73,8.81,475,8.81
2016-11-24,0.0,0.0,0.0,0.0,0,0.0
2016-11-25,8.56,9.2,8.56,8.68,9520,8.68
2016-11-28,8.87,8.87,8.68,8.7,858,8.7
2016-11-29,8.69,8.69,8.5,8.5,311,8.5
2016-11-30,8.69,8.69,8.43,8.43,1187,8.43
2016-12-21,9.29,9.3,9.03,9.24,10262,9.24
2016-12-22,9.2,9.48,8.97,9.48,13291,9.48
2016-12-23,9.48,9.49,9.48,9.48,7014,9.48
2016-12-26,9.5,9.78,9.5,9.78,14952,9.78
2016-12-27,9.78,9.98,9.78,9.98,12752,9.98
2016-12-28,10.0,10.45,10.0,10.3,38995,10.3
2016-12-29,10.33,10.33,10.0,10.1,9464,10.1
2016-12-30,10.08,10.08,9.81,9.95,1160,9.95
2017-01-23,9.33,9.33,9.15,9.16,1700,9.16
2017-01-24,9.02,9.33,9.02,9.33,824,9.33
2017-01-25,9.06,9.28,9.06,9.28,71,9.28
2017-01-26,9.05,9.23,9.0,9.23,2446,9.23
2017-01-27,9.02,9.23,8.96,9.0,793,9.0
2017-01-30,9.18,9.27,9.1,9.1,634,9.1
2017-01-31,9.29,9.3,9.29,9.3,268,9.3
2017-02-21,9.3,9.3,9.04,9.04,1281,9.04
2017-02-22,8.9,8.91,8.9,8.91,185,8.91
2017-02-23,9.04,9.04,8.77,8.8,2185,8.8
