Date Time,Open,High,Low,Close,Volume,Adj Close
04/01/2016,35.18,36.45,34.1,36.45,6253,36.45
05/01/2016,37.98,37.98,36.74,37.0,6779,37.0
06/01/2016,37.0,37.0,36.0,36.5,4310,36.5
07/01/2016,36.5,36.9,35.42,35.42,4712,35.42
08/01/2016,35.0,36.4,34.36,36.0,18727,36.0
11/01/2016,35.99,36.49,35.7,36.2,2242,36.2
12/01/2016,36.3,36.9,36.01,36.4,16770,36.4
13/01/2016,36.45,36.5,36.0,36.0,2930,36.0
15/01/2016,36.46,36.69,35.38,35.38,7198,35.38
18/01/2016,35.99,36.99,35.99,36.9,7585,36.9
19/01/2016,36.95,37.5,36.6,37.1,8553,37.1
20/01/2016,37.5,38.4,37.5,38.3,17099,38.3
21/01/2016,37.84,38.0,37.48,37.48,5876,37.48
22/01/2016,37.48,37.48,36.7,37.27,8545,37.27
25/01/2016,37.0,38.0,37.0,38.0,6347,38.0
26/01/2016,37.5,38.19,37.5,38.0,2764,38.0
27/01/2016,37.9,37.9,37.5,37.8,7584,37.8
28/01/2016,37.9,37.99,37.56,37.99,10051,37.99
29/01/2016,37.9,39.02,37.61,39.0,15628,39.0
01/02/2016,39.89,39.89,38.8,39.3,2386,39.3
02/02/2016,39.0,39.2,38.88,38.99,11956,38.99
03/02/2016,38.9,38.9,38.6,38.7,1053,38.7
04/02/2016,38.61,38.7,38.03,38.03,1322,38.03
05/02/2016,38.0,38.89,37.99,38.89,5330,38.89
08/02/2016,38.21,38.85,38.21,38.85,110,38.85
09/02/2016,38.25,38.85,38.03,38.8,2386,38.8
10/02/2016,38.79,38.79,37.63,37.63,9104,37.63
11/02/2016,37.95,37.98,37.49,37.64,9635,37.64
12/02/2016,37.64,37.8,37.52,37.66,22016,37.66
15/02/2016,37.6,38.59,37.6,38.07,2399,38.07
16/02/2016,38.04,38.74,38.04,38.73,4263,38.73
17/02/2016,38.5,39.8,38.5,39.76,13415,39.76
18/02/2016,39.79,42.1,39.79,41.8,58035,41.8
19/02/2016,43.04,44.33,41.78,44.33,23212,44.33
22/02/2016,45.0,46.8,44.7,45.0,25256,45.0
23/02/2016,45.9,45.9,44.53,44.53,24272,44.53
24/02/2016,44.49,45.0,43.16,43.16,24048,43.16
25/02/2016,42.0,44.52,42.0,44.4,19081,44.4
26/02/2016,45.0,45.49,44.3,44.8,11083,44.8
29/02/2016,45.3,45.96,45.0,45.11,8538,45.11
01/03/2016,46.46,47.85,46.46,47.45,36361,47.45
02/03/2016,47.0,47.78,46.1,46.1,8104,46.1
03/03/2016,46.0,47.0,45.01,46.0,6279,46.0
04/03/2016,46.5,46.52,46.0,46.5,2908,46.5
07/03/2016,45.3,46.0,44.5,44.5,5165,44.5
08/03/2016,44.53,45.85,44.5,45.0,20253,45.0
09/03/2016,45.0,45.15,44.0,44.5,4507,44.5
10/03/2016,44.5,44.99,44.02,44.98,7147,44.98
11/03/2016,44.98,45.0,44.1,45.0,1303,45.0
14/03/2016,45.5,46.0,45.5,45.95,569,45.95
15/03/2016,45.01,45.95,45.01,45.8,3362,45.8
16/03/2016,45.8,45.85,45.5,45.8,1109,45.8
17/03/2016,45.8,45.95,45.52,45.95,4437,45.95
18/03/2016,45.95,47.3,45.95,47.3,5552,47.3
21/03/2016,47.8,49.0,47.8,48.13,20260,48.13
22/03/2016,48.2,49.98,48.13,49.98,21276,49.98
23/03/2016,50.6,50.6,49.21,50.0,12500,50.0
24/03/2016,50.4,52.66,50.39,52.66,27366,52.66
25/03/2016,53.1,54.0,51.57,52.83,29149,52.83
28/03/2016,52.88,54.12,52.83,52.83,15755,52.83
29/03/2016,52.5,52.5,50.93,51.8,9457,51.8
30/03/2016,51.1,51.8,50.51,51.8,5572,51.8
31/03/2016,52.0,53.8,52.0,53.47,7555,53.47
01/04/2016,53.3,53.98,52.5,53.93,4129,53.93
04/04/2016,53.8,53.8,52.51,53.6,4781,53.6
05/04/2016,53.6,53.6,52.7,53.57,2274,53.57
06/04/2016,53.1,53.1,52.8,53.1,2251,53.1
07/04/2016,53.6,53.6,52.0,53.57,4643,53.57
08/04/2016,53.56,53.56,52.01,53.48,1937,53.48
11/04/2016,53.59,53.59,52.65,52.75,388,52.75
12/04/2016,52.11,52.99,51.98,52.0,3859,52.0
13/04/2016,52.0,52.5,51.0,52.0,818,52.0
14/04/2016,52.0,52.4,51.1,52.0,2393,52.0
15/04/2016,52.01,54.35,52.01,53.59,10183,53.59
18/04/2016,53.59,54.0,53.0,53.59,4948,53.59
19/04/2016,53.59,54.3,53.0,54.0,2496,54.0
20/04/2016,54.0,54.35,54.0,54.24,1053,54.24
21/04/2016,54.24,54.8,54.24,54.78,2042,54.78
22/04/2016,54.98,54.98,54.0,54.9,2346,54.9
25/04/2016,54.9,55.5,54.5,55.5,2305,55.5
26/04/2016,54.29,56.0,54.28,55.5,1788,55.5
27/04/2016,55.5,55.9,54.28,55.88,5181,55.88
28/04/2016,55.5,55.5,55.0,55.3,697,55.3
29/04/2016,55.45,55.49,54.0,54.0,5612,54.0
02/05/2016,54.19,54.19,52.8,52.85,3492,52.85
03/05/2016,52.5,52.5,51.2,52.13,3049,52.13
04/05/2016,52.0,53.56,51.0,53.56,2907,53.56
05/05/2016,54.34,55.97,54.34,55.89,3490,55.89
06/05/2016,55.88,55.88,54.33,54.33,2436,54.33
09/05/2016,55.59,55.7,54.5,55.4,313,55.4
10/05/2016,55.0,55.2,54.05,55.05,3314,55.05
11/05/2016,54.99,56.0,54.95,55.7,5225,55.7
12/05/2016,55.7,55.7,54.95,54.95,2091,54.95
13/05/2016,54.9,54.9,54.2,54.84,804,54.84
16/05/2016,55.03,55.03,54.84,54.89,449,54.89
17/05/2016,54.84,54.84,53.21,53.5,2382,53.5
18/05/2016,54.0,54.0,52.5,53.0,357,53.0
19/05/2016,52.4,52.9,51.9,51.9,2487,51.9
20/05/2016,51.83,51.87,51.5,51.69,3270,51.69
23/05/2016,51.98,51.98,51.5,51.79,3501,51.79
24/05/2016,51.8,53.0,51.79,52.95,5267,52.95
25/05/2016,53.0,53.7,53.0,53.5,3074,53.5
26/05/2016,53.5,54.0,53.31,53.5,6092,53.5
27/05/2016,53.5,54.0,53.4,53.89,3168,53.89
30/05/2016,54.48,54.98,53.89,54.1,5799,54.1
31/05/2016,54.1,54.99,53.6,54.6,4288,54.6
01/06/2016,37.49,37.99,37.4,37.8,29364,37.8
02/06/2016,37.99,40.0,37.79,40.0,32043,40.0
03/06/2016,41.8,42.4,41.6,41.8,39088,41.8
06/06/2016,43.0,43.0,42.2,42.88,4659,42.88
07/06/2016,42.88,43.0,42.4,42.4,3205,42.4
08/06/2016,42.4,42.69,41.13,41.8,5262,41.8
09/06/2016,41.75,42.75,40.9,42.45,3973,42.45
10/06/2016,42.0,42.74,42.0,42.0,6401,42.0
13/06/2016,42.68,43.8,42.0,43.3,24389,43.3
14/06/2016,43.7,43.9,43.1,43.9,12143,43.9
15/06/2016,44.5,44.7,43.2,44.48,9668,44.48
16/06/2016,44.5,45.8,44.5,45.8,30506,45.8
17/06/2016,47.17,47.8,47.0,47.5,13411,47.5
20/06/2016,47.79,48.5,47.5,48.21,17954,48.21
