Date Time,Open,High,Low,Close,Volume,Adj Close
04/01/2016,22.2,22.2,22.2,22.2,75,22.2
05/01/2016,22.15,22.15,22.15,22.15,590,22.15
06/01/2016,22.1,22.1,21.8,21.8,756,21.8
07/01/2016,22.0,22.0,22.0,22.0,200,22.0
08/01/2016,21.89,21.89,21.89,21.89,238,21.89
11/01/2016,21.29,21.29,21.25,21.25,214,21.25
12/01/2016,21.25,21.29,21.25,21.29,321,21.29
13/01/2016,21.29,21.29,21.29,21.29,650,21.29
15/01/2016,21.29,21.32,21.29,21.32,210,21.32
18/01/2016,21.95,21.95,21.5,21.6,3558,21.6
19/01/2016,21.58,21.62,21.58,21.62,9304,21.62
20/01/2016,22.5,22.59,22.5,22.59,4530,22.59
21/01/2016,23.24,23.26,23.24,23.26,16252,23.26
22/01/2016,23.0,23.0,22.49,22.49,8100,22.49
25/01/2016,22.77,22.8,22.77,22.8,13427,22.8
26/01/2016,22.8,22.97,22.8,22.9,7520,22.9
27/01/2016,23.03,23.22,23.03,23.22,3416,23.22
28/01/2016,24.7,24.7,23.73,23.73,5330,23.73
29/01/2016,24.79,24.79,24.79,24.79,1100,24.79
01/02/2016,25.51,25.98,25.51,25.98,12270,25.98
02/02/2016,26.0,26.0,25.5,25.5,3026,25.5
03/02/2016,24.81,25.5,24.81,25.5,626,25.5
04/02/2016,26.0,26.0,25.5,25.5,1590,25.5
05/02/2016,0.0,0.0,0.0,0.0,0,0.0
08/02/2016,24.74,24.74,24.74,24.74,125,24.74
09/02/2016,25.44,25.44,25.0,25.0,151,25.0
10/02/2016,25.01,25.5,25.01,25.5,8996,25.5
11/02/2016,25.5,25.5,25.5,25.5,1070,25.5
12/02/2016,25.01,25.01,25.01,25.01,328,25.01
15/02/2016,25.02,25.75,25.02,25.75,941,25.75
16/02/2016,26.0,26.0,26.0,26.0,889,26.0
17/02/2016,26.78,26.89,26.78,26.89,2222,26.89
18/02/2016,26.89,26.89,26.1,26.1,260,26.1
19/02/2016,26.5,26.5,26.1,26.1,1257,26.1
22/02/2016,26.0,26.0,26.0,26.0,193,26.0
23/02/2016,26.78,26.78,26.0,26.0,617,26.0
24/02/2016,26.0,26.0,26.0,26.0,1173,26.0
25/02/2016,26.0,26.0,26.0,26.0,1174,26.0
26/02/2016,26.5,27.0,26.5,27.0,5741,27.0
29/02/2016,27.5,28.1,27.5,28.1,5204,28.1
01/03/2016,28.5,29.35,28.5,29.35,11647,29.35
02/03/2016,29.35,29.35,29.33,29.35,4166,29.35
03/03/2016,29.5,29.5,29.5,29.5,1160,29.5
04/03/2016,29.99,29.99,29.5,29.5,1316,29.5
07/03/2016,29.97,29.97,29.96,29.96,220,29.96
08/03/2016,29.07,29.07,29.07,29.07,222,29.07
09/03/2016,28.32,28.32,28.32,28.32,482,28.32
10/03/2016,28.32,28.99,28.32,28.99,2838,28.99
11/03/2016,29.07,29.07,29.0,29.0,1863,29.0
14/03/2016,29.0,29.0,29.0,29.0,5895,29.0
15/03/2016,29.0,29.0,28.41,28.41,665,28.41
16/03/2016,29.0,29.0,28.98,28.98,550,28.98
17/03/2016,28.55,28.55,28.55,28.55,250,28.55
18/03/2016,28.55,28.55,28.55,28.55,310,28.55
21/03/2016,0.0,0.0,0.0,0.0,0,0.0
22/03/2016,28.5,28.5,28.5,28.5,695,28.5
23/03/2016,28.5,28.5,28.41,28.5,2195,28.5
24/03/2016,28.81,28.82,28.81,28.82,441,28.82
25/03/2016,28.7,29.0,28.7,29.0,75,29.0
28/03/2016,0.0,0.0,0.0,0.0,0,0.0
29/03/2016,28.7,28.7,28.7,28.7,30,28.7
30/03/2016,28.7,28.7,28.69,28.69,405,28.69
31/03/2016,28.35,28.35,28.33,28.33,285,28.33
01/04/2016,0.0,0.0,0.0,0.0,0,0.0
04/04/2016,27.49,27.49,27.49,27.49,200,27.49
05/04/2016,27.51,27.51,27.51,27.51,236,27.51
06/04/2016,28.69,28.69,27.83,27.83,510,27.83
07/04/2016,28.0,28.0,28.0,28.0,90,28.0
08/04/2016,28.7,28.7,28.01,28.01,180,28.01
11/04/2016,28.2,28.2,28.01,28.01,2420,28.01
12/04/2016,28.7,28.7,28.7,28.7,10,28.7
13/04/2016,28.02,28.21,28.02,28.21,725,28.21
14/04/2016,28.5,28.5,28.5,28.5,10,28.5
15/04/2016,28.0,28.0,28.0,28.0,200,28.0
18/04/2016,27.5,27.5,27.5,27.5,125,27.5
19/04/2016,28.29,28.29,28.29,28.29,50,28.29
20/04/2016,27.2,27.2,27.2,27.2,420,27.2
21/04/2016,28.01,28.01,28.01,28.01,56,28.01
22/04/2016,0.0,0.0,0.0,0.0,0,0.0
25/04/2016,27.25,27.25,27.25,27.25,350,27.25
26/04/2016,0.0,0.0,0.0,0.0,0,0.0
27/04/2016,0.0,0.0,0.0,0.0,0,0.0
28/04/2016,27.25,27.8,27.25,27.8,817,27.8
29/04/2016,0.0,0.0,0.0,0.0,0,0.0
02/05/2016,28.48,28.48,27.63,27.63,64,27.63
03/05/2016,27.63,27.63,27.63,27.63,100,27.63
04/05/2016,0.0,0.0,0.0,0.0,0,0.0
05/05/2016,27.0,27.0,27.0,27.0,195,27.0
