Date Time,Open,High,Low,Close,Volume,Adj Close
04/01/2016,14.19,14.19,13.77,13.9,2008,13.9
05/01/2016,14.2,14.2,13.78,13.9,2588,13.9
06/01/2016,13.9,13.98,13.84,13.9,10930,13.9
07/01/2016,13.95,13.95,13.81,13.9,4203,13.9
08/01/2016,13.9,13.9,13.6,13.87,9588,13.87
11/01/2016,13.87,13.87,13.7,13.7,1060,13.7
12/01/2016,13.7,13.79,13.6,13.79,5096,13.79
13/01/2016,13.79,14.0,13.79,13.9,387,13.9
15/01/2016,13.9,14.0,13.8,13.8,2578,13.8
18/01/2016,13.61,13.9,13.6,13.9,901,13.9
19/01/2016,13.61,13.8,13.61,13.79,1701,13.79
20/01/2016,13.79,13.79,13.64,13.79,3686,13.79
21/01/2016,13.79,13.79,13.74,13.79,6112,13.79
22/01/2016,13.79,13.9,13.6,13.8,5954,13.8
25/01/2016,13.5,13.78,13.5,13.78,1053,13.78
26/01/2016,13.77,13.8,13.65,13.8,2050,13.8
27/01/2016,13.78,13.78,13.5,13.77,6477,13.77
28/01/2016,13.77,13.77,13.6,13.68,2422,13.68
29/01/2016,13.68,13.68,13.51,13.67,2674,13.67
01/02/2016,13.51,13.51,13.5,13.5,6104,13.5
02/02/2016,13.49,13.49,13.41,13.49,1610,13.49
03/02/2016,13.49,13.7,13.49,13.7,4213,13.7
04/02/2016,13.6,13.67,13.6,13.6,14298,13.6
05/02/2016,13.68,14.09,13.65,14.0,15440,14.0
08/02/2016,14.0,14.0,13.97,13.98,814,13.98
09/02/2016,13.71,13.97,13.6,13.96,967,13.96
10/02/2016,13.61,13.8,13.55,13.8,1840,13.8
11/02/2016,13.7,13.75,13.51,13.74,1834,13.74
12/02/2016,13.75,13.75,13.5,13.74,2370,13.74
15/02/2016,13.33,13.69,13.33,13.67,2555,13.67
16/02/2016,13.69,13.7,13.5,13.69,2450,13.69
17/02/2016,13.5,13.59,13.5,13.5,1625,13.5
18/02/2016,13.5,13.78,13.5,13.52,15428,13.52
19/02/2016,13.55,13.75,13.5,13.69,550,13.69
22/02/2016,13.5,13.6,13.37,13.5,857,13.5
23/02/2016,13.5,13.5,13.5,13.5,844,13.5
24/02/2016,13.45,13.45,13.4,13.4,1266,13.4
25/02/2016,13.4,13.4,13.35,13.39,1510,13.39
26/02/2016,13.4,13.59,13.3,13.59,2593,13.59
29/02/2016,13.58,13.59,13.34,13.59,2069,13.59
01/03/2016,13.5,13.59,13.3,13.59,1289,13.59
02/03/2016,13.57,13.75,13.57,13.75,3899,13.75
03/03/2016,13.75,13.84,13.59,13.75,6988,13.75
04/03/2016,13.73,13.8,13.5,13.79,1041,13.79
07/03/2016,13.8,13.8,13.4,13.6,207886,13.6
