Date Time,Open,High,Low,Close,Volume,Adj Close
04/01/2016,6.2,6.2,6.2,6.2,798,6.2
05/01/2016,6.2,6.38,6.11,6.2,3237,6.2
06/01/2016,6.15,6.38,6.15,6.38,544,6.38
07/01/2016,6.38,6.57,6.38,6.49,1958,6.49
08/01/2016,6.59,6.61,6.5,6.61,959,6.61
11/01/2016,6.42,6.61,6.42,6.61,878,6.61
12/01/2016,6.59,6.69,6.5,6.68,2719,6.68
13/01/2016,6.7,6.71,6.5,6.56,3274,6.56
15/01/2016,6.4,6.55,6.4,6.5,3675,6.5
18/01/2016,6.35,6.5,6.35,6.5,429,6.5
19/01/2016,6.31,6.38,6.13,6.2,3046,6.2
20/01/2016,6.13,6.19,6.13,6.19,550,6.19
21/01/2016,6.1,6.1,6.1,6.1,250,6.1
22/01/2016,5.95,6.05,5.93,6.05,2569,6.05
25/01/2016,5.78,5.99,5.78,5.9,9990,5.9
26/01/2016,5.78,5.99,5.73,5.78,12260,5.78
27/01/2016,5.78,5.78,5.74,5.74,1194,5.74
28/01/2016,5.72,5.72,5.67,5.67,300,5.67
29/01/2016,5.66,5.66,5.5,5.5,5946,5.5
01/02/2016,5.5,5.83,5.5,5.83,4866,5.83
02/02/2016,6.09,6.17,6.09,6.17,18678,6.17
03/02/2016,6.35,6.54,6.35,6.54,4906,6.54
04/02/2016,6.73,6.93,6.53,6.53,40881,6.53
05/02/2016,6.52,6.52,6.33,6.33,7926,6.33
08/02/2016,6.39,6.48,6.15,6.35,10350,6.35
09/02/2016,6.17,6.3,6.16,6.17,4695,6.17
10/02/2016,6.02,6.02,5.99,5.99,1592,5.99
11/02/2016,0.0,0.0,0.0,0.0,0,0.0
12/02/2016,5.82,6.08,5.79,5.8,4796,5.8
15/02/2016,5.97,5.97,5.45,5.7,9825,5.7
16/02/2016,5.7,5.8,5.53,5.69,11757,5.69
17/02/2016,5.6,5.64,5.53,5.6,910,5.6
18/02/2016,5.52,5.68,5.5,5.65,6593,5.65
19/02/2016,5.6,5.67,5.44,5.54,3928,5.54
22/02/2016,5.54,5.54,5.38,5.38,1558,5.38
23/02/2016,5.53,5.53,5.29,5.3,2588,5.3
24/02/2016,5.39,5.39,5.23,5.23,1992,5.23
25/02/2016,5.3,5.3,5.15,5.15,4602,5.15
26/02/2016,5.15,5.15,5.0,5.15,5284,5.15
29/02/2016,5.2,5.2,5.05,5.14,2530,5.14
01/03/2016,5.0,5.0,4.99,4.99,1244,4.99
02/03/2016,4.96,5.0,4.85,4.85,4757,4.85
03/03/2016,4.81,4.94,4.67,4.93,15990,4.93
04/03/2016,5.0,5.04,4.85,4.98,5495,4.98
07/03/2016,4.86,5.0,4.85,5.0,8063,5.0
08/03/2016,5.14,5.2,5.0,5.15,5268,5.15
09/03/2016,5.0,5.0,5.0,5.0,275,5.0
10/03/2016,4.9,4.95,4.85,4.95,1790,4.95
11/03/2016,4.93,5.04,4.93,5.04,3292,5.04
14/03/2016,5.04,5.19,5.04,5.1,1050,5.1
15/03/2016,5.14,5.14,4.99,4.99,4435,4.99
16/03/2016,4.86,4.95,4.85,4.87,970,4.87
17/03/2016,4.84,4.98,4.84,4.87,1597,4.87
18/03/2016,5.01,5.01,5.0,5.0,182,5.0
21/03/2016,4.9,4.99,4.85,4.97,646,4.97
22/03/2016,4.95,4.95,4.85,4.85,6897,4.85
23/03/2016,4.84,4.85,4.84,4.85,1008,4.85
24/03/2016,4.84,4.99,4.84,4.99,8348,4.99
25/03/2016,4.89,5.11,4.89,5.11,3972,5.11
28/03/2016,5.19,5.26,5.11,5.22,4975,5.22
29/03/2016,5.25,5.35,5.12,5.35,3905,5.35
30/03/2016,5.35,5.36,5.2,5.3,1429,5.3
31/03/2016,5.3,5.62,5.3,5.62,12038,5.62
01/04/2016,5.87,5.95,5.8,5.95,15872,5.95
04/04/2016,5.95,6.3,5.95,6.3,25797,6.3
05/04/2016,6.35,6.68,6.35,6.68,30382,6.68
06/04/2016,6.87,7.07,6.72,7.07,40167,7.07
07/04/2016,7.26,7.5,7.07,7.5,33242,7.5
08/04/2016,7.72,7.95,7.53,7.95,29067,7.95
11/04/2016,8.18,8.35,7.57,7.92,45079,7.92
12/04/2016,7.71,7.91,7.48,7.7,29477,7.7
13/04/2016,7.7,7.7,7.47,7.6,4958,7.6
14/04/2016,7.54,7.55,7.26,7.37,12273,7.37
15/04/2016,7.37,7.7,7.37,7.7,12495,7.7
18/04/2016,7.7,7.73,7.5,7.7,4348,7.7
19/04/2016,7.7,7.9,7.61,7.61,5859,7.61
20/04/2016,7.65,7.65,7.43,7.6,6807,7.6
21/04/2016,7.6,7.82,7.6,7.78,5088,7.78
22/04/2016,7.78,7.78,7.55,7.55,1255,7.55
25/04/2016,7.36,7.77,7.36,7.72,3455,7.72
26/04/2016,7.9,7.9,7.67,7.73,3484,7.73
27/04/2016,7.8,7.85,7.6,7.6,7230,7.6
28/04/2016,7.82,7.82,7.59,7.59,166,7.59
29/04/2016,7.5,7.58,7.37,7.37,1748,7.37
