Séance de Bourse,Open,Last,Plus haut,Plus bas,Cours Moy. Pondere,Nbre de Transactions,Quantity,Exch. Volume
04/01/2021,93.5,93.29,93.5,93.29,93.438,15,723,67555.96
05/01/2021,93,92.9,93,92.89,92.985,28,4070,378447.89
06/01/2021,92.1,92.9,92.9,92,92.663,16,855,79226.8
07/01/2021,92.16,92.99,93,92,92.312,65,5270,486482.52
08/01/2021,92.99,93,93.29,92.96,93.011,24,957,89011.6
11/01/2021,92.5,92.5,93,92.5,92.573,26,1642,152005.31
12/01/2021,92.5,92.8,92.8,92.4,92.583,13,626,57957.1
13/01/2021,92.8,92.3,92.8,92,92.619,19,1109,102714.54
15/01/2021,92.31,92.31,92.8,92.31,92.508,8,756,69935.81
18/01/2021,92.3,92.9,93,92.3,92.806,14,295,27377.89
19/01/2021,92.8,93.98,93.98,92.8,93.051,22,2760,256821.6
20/01/2021,92.01,93.75,93.9,92.01,92.539,12,399,36922.87
21/01/2021,93.75,92.5,93.75,92.1,92.404,19,882,81500.6
22/01/2021,92.5,92.55,93.45,92.5,92.569,21,496,45914.15
25/01/2021,92.51,93,93.5,92.51,92.724,22,852,79000.62
26/01/2021,92.6,93,93,92.5,92.738,13,807,74839.8
27/01/2021,92.5,92.55,94,92.5,92.58,6,426,39439.15
28/01/2021,92.56,93,94.47,92.5,92.691,20,358,33183.28
29/01/2021,93,93,93,92.5,92.831,10,553,51335.4
01/02/2021,93,92.53,93,92.52,92.748,10,320,29679.24
02/02/2021,92.6,92.6,93,92.55,92.815,9,181,16799.6
03/02/2021,93,93,93,92.6,92.944,13,1433,133189.4
04/02/2021,94.47,93.5,94.47,93,93.487,15,22598,2112614.91
05/02/2021,94,93.99,94,93.5,93.99,9,10026,942343.5
08/02/2021,93.99,93.2,93.99,93,93.273,6,158,14737.06
09/02/2021,93.99,93.8,93.99,93.22,93.377,11,541,50517.12
10/02/2021,93.8,93.7,93.8,93.41,93.631,10,587,54961.64
11/02/2021,93.8,93.25,93.8,93.22,93.461,16,979,91498.68
12/02/2021,93.25,93.8,93.8,93.25,93.757,18,994,93194.25
15/02/2021,93.8,94.49,95,93.8,94.279,22,2158,203453.11
16/02/2021,95,94,95,94,94.369,5,164,15476.5
17/02/2021,93.9,94,94,93.8,93.891,15,471,44222.81
18/02/2021,93.8,96.3,96.3,93.8,94.838,20,658,62403.09
19/02/2021,96.1,94.1,96.1,94.1,95.533,16,510,48721.62
22/02/2021,94.1,94.1,96,94.1,94.141,10,677,63733.7
23/02/2021,95.5,93.83,95.5,93.82,93.976,12,1027,96513.21
24/02/2021,93.8,94,94,93.8,93.989,11,253,23779.2
25/02/2021,95.2,95,95.2,94,94.034,6,299,28116.2
26/02/2021,95,95,95,94.01,94.859,3,14,1328.02
01/03/2021,94.01,93,94.02,93,93.349,51,4141,386556.31
02/03/2021,93,92,93,92,92.303,50,3113,287340.3
03/03/2021,93,92,93,91.8,92.353,17,703,64924.3
04/03/2021,93,91.81,93,91.81,92.193,19,423,38997.43
